,Sample,alpha_ratio,theta_beta_ratio,valence
223,sub-019_ses-06,9.9999999999989e-05,-0.0316084024245065,0.193
224,sub-019_ses-07,0.0151,-0.017910447761194,0.149
225,sub-019_ses-08,0.00430000000000003,0.00545664555701598,0.504
226,sub-019_ses-09,0.00449999999999995,0.00441662319596592,0.741
227,sub-019_ses-10_,-0.00405,-0.00373670736635269,0.346
228,sub-019_ses-11_,-0.00150000000000006,-0.00635731362747229,0.696
229,sub-019_ses-12_,-0.00154999999999991,0.00177331549150479,0.224
230,sub-020_ses-01,-0.00280000000000014,0.00581197843586146,0.447
231,sub-020_ses-02,-0.00100000000000067,-0.0078295193300485,0.272
232,sub-020_ses-03,0.000800000000000356,-0.0253136526102288,0.612
233,sub-020_ses-04,-0.00879999999999996,0.00897894591202303,0.0734
234,sub-020_ses-05,0.00129999999999963,-0.010603471232138,0.325
235,sub-020_ses-06,0.00699999999999984,0.00555987878327597,0.193
236,sub-020_ses-07,-0.00370000000000004,-0.00574670436602649,0.149
237,sub-020_ses-08,-0.000250000000000208,-0.0151653757376673,0.504
238,sub-020_ses-09,0.00914999999999999,-0.00587381992011732,0.741
239,sub-020_ses-10_,0.0111999999999997,-0.0209393072587811,0.346
240,sub-020_ses-11_,-0.0033000000000003,-0.0133041565023438,0.696
241,sub-020_ses-12_,-0.00914999999999999,-0.019079087250805,0.224
